,ratio,cost,transparentequityAVG,transparentequitySTD,cost,nontransparentequityAVG,nontransparentequitySTD
0,3.809600203197156,54040.69002000002,0.9999897373078512,2.6323484751824532e-05,360913.9054799997,4.384893630109602,2.285580729875869
1,1.904800101598578,168447.06359999996,0.9999886496874326,1.944047566303987e-05,230763.33185999992,2.4347798642880734,1.7492712999164526
2,1.2698667343990524,301435.599,0.9999942339090956,1.1632462763214263e-05,185653.1240399999,1.9349595723500688,1.591950390888801
3,0.952400050799289,398439.38208000007,0.9798641701340703,0.12877574781617387,154586.77799999993,1.5009973301803767,1.3498514189278916
4,0.7619200406394312,269577.88578,0.9374370072125137,0.22666757428099965,134951.79329999993,1.2140487888559917,1.1426623229526958
5,0.6349333671995262,206754.54845999996,0.8006359972215492,0.3787530807926598,121077.45899999996,1.0799457570602689,1.0332036741397501
6,0.5442286004567367,171695.88384000008,0.7259171840156817,0.43271127855113073,111619.7601,0.9542801336182215,0.9443750066234671
7,0.4762000253996445,148451.39496000003,0.6852522061974731,0.4541218934252499,104069.19503999998,0.802774958905602,0.8528476037778749
8,0.4232889114663507,133469.99304000003,0.6468586408840634,0.46339889885590124,99205.56779999995,0.6934789519144138,0.7693084241638116
9,0.3809600203197156,119936.5386,0.6343184183222044,0.46783903914846287,95366.83697999998,0.5891844130597634,0.6547722673915963
