SupplierID,DemanderID,SupplyAmount
6,64,128194.0
6,86,436088.0
6,48,536001.0
6,57,639524.0
6,58,698213.0
6,37,1195481.0
6,87,1352221.0
6,61,3205544.0
6,88,3205544.0
6,27,3205544.0
6,29,3205544.0
6,45,3205544.0
6,39,3205544.0
6,90,3205544.0
6,44,3205544.0
6,26,3205544.0
6,62,3205544.0
6,40,3205544.0
6,35,3205544.0
6,70,3205544.0
6,66,3205544.0
6,63,3205544.0
6,56,3205544.0
6,79,3205544.0
6,43,3205544.0
6,32,3205544.0
6,83,3205544.0
6,34,3205544.0
6,92,3205544.0
6,85,3205544.0
6,54,3205544.0
6,28,3205544.0
6,47,3205544.0
6,59,3205544.0
6,42,3205544.0
6,51,3205544.0
6,91,3205544.0
6,76,3205544.0
6,73,3205544.0
6,89,3205544.0
6,82,3205544.0
6,53,3205544.0
6,71,3205544.0
6,78,3205544.0
6,74,3205544.0
6,80,3205544.0
6,77,3205544.0
6,30,3205544.0
6,65,3205544.0
6,41,3205544.0
6,81,3205544.0
6,49,3205544.0
6,52,3205544.0
6,55,3205544.0
6,72,3205544.0
6,38,3205544.0
6,84,3205544.0
6,33,3205544.0
6,46,3205544.0
6,60,3205544.0
6,67,3205544.0
6,50,3205544.0
6,75,3205544.0
6,31,3205544.0
6,36,3205544.0
6,68,3205544.0
6,69,3205544.0
20,35,4762638.0
20,40,11137907.134615386
20,83,11137907.134615386
20,29,11137907.134615386
20,70,11137907.134615386
20,88,11137907.134615386
20,79,11137907.134615386
20,27,11137907.134615386
20,26,11137907.134615386
20,37,11137907.134615386
20,66,11137907.134615386
20,45,11137907.134615386
20,42,11137907.134615386
20,48,11137907.134615386
20,86,11137907.134615386
20,62,11137907.134615386
20,89,11137907.134615386
20,34,11137907.134615386
20,58,11137907.134615386
20,85,11137907.134615386
20,64,11137907.134615386
20,39,11137907.134615386
20,59,11137907.134615386
20,82,11137907.134615386
20,57,11137907.134615386
20,87,11137907.134615386
20,51,11137907.134615386
20,73,11137907.134615386
20,76,11137907.134615386
20,61,11137907.134615386
20,30,11137907.134615386
20,53,11137907.134615386
20,90,11137907.134615386
20,44,11137907.134615386
20,77,11137907.134615386
20,74,11137907.134615386
20,78,11137907.134615386
20,55,11137907.134615386
20,63,11137907.134615386
20,65,11137907.134615386
20,56,11137907.134615386
20,81,11137907.134615386
20,32,11137907.134615386
20,43,11137907.134615386
20,84,11137907.134615386
20,49,11137907.134615386
20,52,11137907.134615386
20,72,11137907.134615386
20,38,11137907.134615386
20,92,11137907.134615386
20,28,11137907.134615386
20,54,11137907.134615386
20,67,11137907.134615386
20,47,11137907.134615386
20,33,11137907.134615386
20,46,11137907.134615386
20,60,11137907.134615386
20,91,11137907.134615386
20,75,11137907.134615386
20,50,11137907.134615386
20,71,11137907.134615386
20,31,11137907.134615386
20,80,11137907.134615386
20,68,11137907.134615386
20,41,11137907.134615386
20,36,11137907.134615386
20,69,11137907.134615386
23,56,212231.46153846156
23,54,212231.46153846156
23,92,212231.46153846156
23,32,212231.46153846156
23,28,212231.46153846156
23,44,212231.46153846156
23,91,212231.46153846156
23,63,212231.46153846156
23,61,212231.46153846156
23,47,212231.46153846156
23,90,212231.46153846156
23,71,212231.46153846156
23,43,212231.46153846156
23,57,212231.46153846156
23,80,212231.46153846156
23,64,212231.46153846156
23,41,212231.46153846156
23,87,212231.46153846156
23,86,212231.46153846156
23,48,212231.46153846156
23,58,212231.46153846156
23,37,212231.46153846156
23,39,212231.46153846156
23,88,212231.46153846156
23,45,212231.46153846156
23,27,212231.46153846156
23,29,212231.46153846156
23,62,212231.46153846156
23,26,212231.46153846156
23,40,212231.46153846156
23,35,212231.46153846156
23,70,212231.46153846156
23,66,212231.46153846156
23,34,212231.46153846156
23,79,212231.46153846156
23,83,212231.46153846156
23,51,212231.46153846156
23,85,212231.46153846156
23,59,212231.46153846156
23,42,212231.46153846156
23,76,212231.46153846156
23,73,212231.46153846156
23,89,212231.46153846156
23,82,212231.46153846156
23,53,212231.46153846156
23,78,212231.46153846156
23,74,212231.46153846156
23,77,212231.46153846156
23,30,212231.46153846156
23,65,212231.46153846156
23,81,212231.46153846156
23,49,212231.46153846156
23,52,212231.46153846156
23,55,212231.46153846156
23,72,212231.46153846156
23,38,212231.46153846156
23,84,212231.46153846156
23,33,212231.46153846156
23,46,212231.46153846156
23,60,212231.46153846156
23,67,212231.46153846156
23,50,212231.46153846156
23,75,212231.46153846156
23,31,212231.46153846156
23,36,212231.46153846156
23,68,212231.46153846156
23,69,212231.46153846156
14,31,747054.75
14,68,747054.75
14,75,747054.75
14,67,747054.75
14,84,747054.75
14,72,747054.75
14,50,747054.75
14,36,747054.75
14,46,747054.75
14,55,747054.75
14,52,747054.75
14,60,747054.75
14,30,747054.75
14,38,747054.75
14,74,747054.75
14,33,747054.75
14,49,747054.75
14,78,747054.75
14,69,747054.75
14,73,747054.75
14,81,747054.75
14,82,747054.75
14,89,747054.75
14,65,747054.75
14,53,747054.75
14,59,747054.75
14,85,747054.75
14,42,747054.75
14,76,747054.75
14,77,747054.75
14,51,747054.75
14,34,747054.75
14,66,747054.75
14,83,747054.75
14,26,747054.75
14,35,747054.75
14,62,747054.75
14,79,747054.75
14,40,747054.75
14,29,747054.75
14,45,747054.75
14,70,747054.75
14,88,747054.75
14,37,747054.75
14,39,747054.75
14,27,747054.75
14,48,747054.75
14,58,747054.75
14,86,747054.75
14,87,747054.75
14,64,747054.75
14,57,747054.75
14,90,747054.75
14,61,747054.75
14,44,747054.75
14,43,747054.75
14,63,747054.75
14,56,747054.75
14,32,747054.75
14,92,747054.75
14,28,747054.75
14,54,747054.75
14,47,747054.75
14,91,747054.75
14,71,747054.75
14,80,747054.75
14,41,747054.75
15,68,1263201.653846154
15,31,1263201.653846154
15,75,1263201.653846154
15,36,1263201.653846154
15,50,1263201.653846154
15,67,1263201.653846154
15,46,1263201.653846154
15,84,1263201.653846154
15,72,1263201.653846154
15,52,1263201.653846154
15,55,1263201.653846154
15,60,1263201.653846154
15,69,1263201.653846154
15,38,1263201.653846154
15,33,1263201.653846154
15,49,1263201.653846154
15,30,1263201.653846154
15,78,1263201.653846154
15,74,1263201.653846154
15,81,1263201.653846154
15,65,1263201.653846154
15,73,1263201.653846154
15,82,1263201.653846154
15,89,1263201.653846154
15,59,1263201.653846154
15,53,1263201.653846154
15,77,1263201.653846154
15,85,1263201.653846154
15,42,1263201.653846154
15,76,1263201.653846154
15,34,1263201.653846154
15,66,1263201.653846154
15,51,1263201.653846154
15,83,1263201.653846154
15,26,1263201.653846154
15,35,1263201.653846154
15,62,1263201.653846154
15,79,1263201.653846154
15,40,1263201.653846154
15,29,1263201.653846154
15,45,1263201.653846154
15,70,1263201.653846154
15,88,1263201.653846154
15,37,1263201.653846154
15,39,1263201.653846154
15,27,1263201.653846154
15,48,1263201.653846154
15,58,1263201.653846154
15,86,1263201.653846154
15,87,1263201.653846154
15,64,1263201.653846154
15,57,1263201.653846154
15,90,1263201.653846154
15,61,1263201.653846154
15,44,1263201.653846154
15,43,1263201.653846154
15,63,1263201.653846154
15,56,1263201.653846154
15,32,1263201.653846154
15,92,1263201.653846154
15,54,1263201.653846154
15,28,1263201.653846154
15,47,1263201.653846154
15,91,1263201.653846154
15,71,1263201.653846154
15,80,1263201.653846154
15,41,1263201.653846154
1,59,129885.65384615386
1,85,129885.65384615386
1,34,129885.65384615386
1,73,129885.65384615386
1,66,129885.65384615386
1,82,129885.65384615386
1,51,129885.65384615386
1,76,129885.65384615386
1,42,129885.65384615386
1,79,129885.65384615386
1,89,129885.65384615386
1,26,129885.65384615386
1,62,129885.65384615386
1,78,129885.65384615386
1,53,129885.65384615386
1,74,129885.65384615386
1,30,129885.65384615386
1,29,129885.65384615386
