SupplierID,DemanderID,SupplyAmount
0,53,1697851
1,59,129885
2,81,159173
3,40,2716562
4,59,4074844
5,66,4482328
6,64,3205544
7,45,3922037
8,56,4074844
9,79,190159
10,73,254677
11,67,2716562
12,78,882882
13,66,195252
14,31,747054
15,68,1263201
16,61,178783
17,77,169785
18,53,1127373
19,53,263167
20,35,11137907
21,31,848925
22,73,1018711
23,56,212231
24,78,12828967
25,53,43295
